epoch,star,RA,DEC,prop_RA,prop_DEC,mag
-5000,Hyades,335.690826029,-17.5437413769,0.0,0.0,0.5
-5000,Sirius,24.8627487937,-30.9667852235,-546.009992995,-1223.07991416,-1.44
-5000,Canopus,62.3189663705,-61.0220709848,19.989998174,23.6699988087,-0.62
-5000,Arcturus,117.505828933,57.7670555782,-1093.4500353,-1999.39992554,-0.05
-5000,Vega,222.30462681,51.3464450091,201.019991863,287.459982971,0.03
-5000,Rigel,356.622316446,-36.9945884914,1.86999996022,-0.559999981369,0.18
-5000,Procyon,24.4236830598,-5.40330302078,-716.569982486,-1034.5800077,0.4
-5000,Betelgeuse,0.00712979353638,-18.6734896679,27.3300000943,10.859999578,0.45
-5000,Capella,337.468510937,14.9918745296,75.5199955015,-427.129988416,0.08
-5000,Altair,213.581132801,17.8898730169,536.819986195,385.539979746,0.76
-5000,Aldebaran,337.508006041,-16.1060169117,62.7799988978,-189.359990469,0.87
-5000,Spica,108.734833607,21.2106794038,-42.500000305,-31.7299983491,0.98
-5000,Antares,153.97711966,7.14096665093,-10.1599991048,-23.2099987726,1.06
-5000,Pollux,13.9830170719,12.7681771163,-625.689951475,-45.9499975539,1.16
-5000,Fomalhaut,228.087503901,-39.2391295909,329.219999465,-164.219989863,1.17
-5000,Deneb,251.824228932,38.2599994565,1.5599999484,1.55000000212,1.25
-5000,Regulus,51.2640706001,19.245270737,-249.400003718,4.91000002107,1.36
-5000,Pleiades,324.812045701,-10.8484149622,19.3499997105,-43.1099976951,1.6
-5000,Alnitak,0.71823723259,-28.6377672602,3.98999999504,2.53999989215,1.74
-5000,Alnilam,359.194740506,-28.4224685175,1.48999995401,-1.0599999694,1.69
-5000,Mintaka,357.691757575,-28.0198934618,1.66999996972,0.559999981369,2.25
-5000,Saiph,6.55546433532,-34.8056363792,1.5500000248,-1.19999999743,2.07
-5000,Menkar,314.25086272,-31.3296694092,-11.8099991622,-78.7599994433,2.54
-5000,Bellatrix,353.160272177,-22.4822864554,-8.74999947804,-13.279999222,1.64
-5000,Elnath,345.342636451,-1.22863951458,23.2799984818,-174.219995376,1.65
-5000,Shaula,164.03907797,-6.92231957024,-8.89999956843,-29.9500000284,1.62
-5000,Adara,38.0253739289,-41.2940583529,2.62999990071,2.2899999635,1.5
-5000,Alnair,202.412780559,-44.3207480708,127.600002534,-147.910002089,1.73
-5000,Wezen,37.9797905376,-37.9242404603,-2.74999989261,3.33000002227,1.83
-5000,Alhena,5.47854041704,-5.85527424551,-2.03999989398,-66.9199979697,1.93
-5000,Castor,8.99821286356,14.3876902115,-206.329982517,-148.180002974,1.58
-5000,Mirzam,20.8596485651,-37.5822415528,-3.4500000683,-0.469999991367,1.98
-5000,Alphard,54.6587051866,-3.75320190155,-14.4900001698,33.2499999233,1.99
-5000,Sirrah,277.350974809,2.11940476657,135.679989858,-162.950001813,2.07
-5000,Caph,290.122523626,29.6776363496,523.390000215,-180.41999277,2.28
-5000,Algenib,272.864360654,-11.4410667366,4.70000010397,-8.23999978189,2.83
-5000,Schedar,293.89957874,24.872246967,50.3600012699,-32.1699984745,2.24
-5000,Mirach,291.600633669,3.68567991346,175.589994891,-112.2299942,2.07
-5000,Achernar,203.455696272,-77.3738781912,88.0199973389,-40.0800007769,0.45
-5000,Almach,303.572524382,7.73175714306,43.0800010232,-50.850000757,2.1
-5000,Hamal,301.16571051,-10.8019513199,190.729987254,-145.769990736,2.01
-5000,Polaris,314.587860687,53.7359733272,44.2199998334,-11.7399998289,1.97
-5000,Algol,315.57192638,5.38683706944,2.39000000156,-1.43999997077,2.09
-5000,Electra,324.203841997,-10.9007351098,21.5499991002,-44.9200000649,3.72
-5000,Taygeta,324.248250909,-10.5465421478,19.349998803,-41.6300001254,4.3
-5000,Maia,324.397092294,-10.6247685478,21.0900004897,-45.0299974818,3.87
-5000,Merope,324.55829979,-11.0343022867,21.1699998693,-42.6699996612,4.14
-5000,Alcyone,324.812045701,-10.8484149622,19.3499997105,-43.1099976951,2.85
-5000,Atlas,325.207652825,-10.8535258437,17.7700001096,-44.6999968648,3.62
-5000,Zaurak,334.188365422,-47.5724911647,60.5100001364,-111.340000269,2.97
-5000,Nihal,8.02595789025,-46.6416562449,-5.03000023946,-85.9200009139,2.81
-5000,Arneb,7.38756930435,-43.7192240512,3.26999996417,1.53999991608,2.58
-5000,Menkalinan,345.613294111,16.1348909092,-56.4099974616,-0.879999989398,1.9
-5000,Naos,60.851023609,-39.7759018649,-30.819999558,16.7699993137,2.21
-5000,Algieba,47.3534489349,26.7863695589,310.769971245,-152.880002888,2.01
-5000,Merak,16.2231277344,56.4455023618,81.6599959541,33.7399998253,2.34
-5000,Dubhe,6.86851571117,58.8426468581,-136.459995572,-35.2499993525,1.81
-5000,Denebola,72.7471034101,35.7983005672,-499.020006896,-113.779997732,2.14
-5000,Phecda,26.4956958907,62.3366285808,107.759992538,11.1599992832,2.41
-5000,Minkar,95.3459616971,4.39336567817,-71.5200017701,10.5499999175,3.02
-5000,Megrez,21.138848418,66.2300530096,103.559993227,7.80999961178,3.32
-5000,Gienah Corvi,94.7067832639,9.62716744781,-159.579996835,22.3099986111,2.58
-5000,Mimosa,116.352152508,-27.289084155,-48.2399991984,-12.819999186,1.25
-5000,Alioth,26.6377740089,71.2680700769,111.739994579,-8.98999956785,1.76
-5000,Vindemiatrix,94.6517795556,40.4283480627,-275.049996029,19.9599986543,2.85
-5000,Mizar,32.3347083293,75.2919664056,121.229994126,-22.0099999517,2.23
-5000,Alcor,32.2348993654,75.4853556126,120.349998147,-16.9399995998,3.99
-5000,Alcaid,60.7703617798,77.3258042387,-121.229998779,-15.5599994917,1.85
-5000,Agena,126.713566791,-25.3753074629,-33.9599986261,-25.0599988721,0.61
-5000,Thuban,345.915054818,77.6090620039,-56.5199992819,17.1899995285,3.67
-5000,Izar,125.664972714,62.3853634095,-50.6499962816,19.9999984756,2.35
-5000,Kochab,317.519113206,70.2498633261,-32.2899993341,11.910000115,2.07
-5000,Alphecca,148.771700432,61.951841917,120.379991558,-89.4400019173,2.22
-5000,Unukalhai,147.71610902,41.2866443977,134.659994333,44.1399993672,2.63
-5000,Rasalgethi,179.926106811,42.5713439309,-6.71000003474,32.7799999319,2.78
-5000,Cebalrai,182.64151023,30.4053809689,-40.6700022945,158.799993167,2.76
-5000,Etamin,236.306713939,64.3390350672,-8.51999955766,-23.0499994876,2.24
-5000,Kaus Australis,174.754129026,-8.45018493079,-39.6100013532,-124.049995763,1.79
-5000,Sheliak,220.278654081,45.7637940919,1.09999986711,-4.45999994033,3.52
-5000,Nunki,184.39357502,-4.56683123311,13.8700000525,-52.6499968968,2.05
-5000,Sulafat,221.508719275,43.9780056043,-2.75999987047,1.76999993411,3.25
-5000,Arkab Prior,179.340321012,-22.972435119,7.30999948911,-22.4300001665,3.96
-5000,Arkab Posterior,179.109947669,-23.1661343301,92.7799990044,-53.7300004371,4.27
-5000,Rukbat,181.948708139,-19.7456249414,32.6699994017,-120.809993509,3.96
-5000,Albereo,223.977046357,35.8706601778,-7.08999964188,-5.62999994109,3.05
-5000,Tarazed,215.024875443,19.9879098291,15.7199993316,-3.07999983217,2.72
-5000,Alshain,214.89010639,16.0570894765,46.3500018622,-481.319982614,3.71
-5000,Sadr,244.138330332,37.391710237,2.42999981724,-0.929999962057,2.23
-5000,Peacock,178.937525989,-38.6403281322,7.7100002102,-86.1500019777,1.94
-5000,Alderamin,274.115834648,45.0705360308,149.910000217,48.2699997364,2.45
