id,created_at,text
916211426615808000,2017-10-06 08:00:01,"Inspired by a workplace safety class, Plant set about looking for solutions: https://t.co/CzePI78uO1 "
916135927537328129,2017-10-06 03:00:00,It’s the first synchrotron in the region: https://t.co/OOAmFNOiSZ
915997525923979264,2017-10-05 17:50:03,"Instead of searching for dark matter particles, a new device will search for dark matter waves: https://t.co/CTvN95gRlx"
915667842158039040,2017-10-04 20:00:00,"Hubert van Hecke, a heavy-ion physicist, transforms particle physics plots into works of art: https://t.co/ng8uuptzQU"
915637648848445440,2017-10-04 18:00:01,Arizona is home to four of the 10 IDA-recognized “Dark Sky Communities” in the United States: https://t.co/dz7cOGvKwZ
915260496479109120,2017-10-03 17:01:21,RT @acapellascience: The @LIGO team's discovery of gravitational waves has won the #NobelPrize! Celebrate in song 😀https://t.co/c8dNSD2tP9…
915183098748215297,2017-10-03 11:53:48,Astronomers around the world are looking for visible sources of gravitational waves: https://t.co/ZInVCQasgw #NobelPrize #NobelPrize2017
915180197321654274,2017-10-03 11:42:16,Join the search for gravitational waves with this citizen science project: https://t.co/norobkQLyI #NobelPrize #NobelPrize2017
915179377335267328,2017-10-03 11:39:01,"RT @ego_virgo: Four signals Three detectors Two collaborations One #NobelPrize! And the best is yet to come with more instruments, more s…"
915178076887146496,2017-10-03 11:33:51,"What is a gravitational wave? Our 60-second explainer, written before the discovery! https://t.co/LvO687G2Wh #NobelPrize #NobelPrize2017"
915167738485542913,2017-10-03 10:52:46,Nobel recognizes gravitational wave discovery https://t.co/kCmfwjuJ7J #NobelPrize #NobelPrize2017
915159833300443137,2017-10-03 10:21:21,"RT @LIGO: The discovery that shook the world - very, very slightly.... https://t.co/1b3anvfPoo"
915159797971918848,2017-10-03 10:21:13,We've entered a new era of multi-messenger astronomy: https://t.co/ITOfTBUhNq #NobelPrize #NobelPrize2017
915159317312970753,2017-10-03 10:19:18,Turning on the cosmic microphone: https://t.co/Qyrjlxvh9z #NobelPrize #NobelPrize2017
915158720400596994,2017-10-03 10:16:56,Our primer on gravitational wave detectors: https://t.co/YIEypvoURY #NobelPrize #NobelPrize2017
915158011588390912,2017-10-03 10:14:07,"RT @NobelPrize: BREAKING NEWS The 2017 #NobelPrize in Physics is awarded to Rainer Weiss, Barry C. Barish and Kip S. Thorne @LIGO. https://…"
